,bearing,consist,course,headsign,latitude,longitude,lowFloor,route,vehicleId
410,202.0,,05501,"Židenice, nádraží",49.20423,16.67915,True,55,7092
411,180.0,,07501,"Slatina, nádraží",49.21521,16.64391,True,75,7093
412,101.0,,04909,Úzká,49.1768,16.62824,True,49,7094
413,191.0,,04903,"Modřice, Olympia",49.13695,16.61605,True,49,7095
414,213.0,,04915,Úzká,49.13953,16.63379,True,49,7097
415,326.0,,05703,"Soběšice, Klarisky",49.22212,16.629,True,57,7100
416,180.0,,60098,Stará osada,49.21506,16.62642,,84,7446
417,247.0,,05202,ZOO,49.1907,16.59318,,52,7448
418,303.0,,05706,Tomkovo náměstí,49.23153,16.61895,,57,7449
419,11.0,,05608,Nemocnice Bohunice,49.23221,16.5771,,796,7450
420,348.0,,07002,Ořešín,49.24303,16.58839,,70,7451
421,146.0,,1404604,Zemědělská,49.23348,16.62944,,46,7452
422,157.0,,05606,Nemocnice Bohunice,49.22464,16.60032,,796,7453
423,101.0,,06710,Avion Shopping park,49.21187,16.55063,,67,7454
424,348.0,,1405212,Technologický park,49.19681,16.56774,,796,7455
425,180.0,,04602,Haškova,49.22194,16.62084,,46,7456
426,146.0,,1407004,Ořešín,49.23066,16.59471,,70,7457
427,67.0,,06708,Zvonařka,49.21611,16.60249,,67,7459
428,236.0,,04308,"Soběšice, Klarisky",49.23089,16.59568,,43,7461
429,45.0,,07702,"Šlapanice, Evropská",49.18903,16.6139,,77,7462
430,348.0,,05216,Kamechy,49.21772,16.5172,,54,7463
431,337.0,,04208,Globus,49.23564,16.58721,,42,7464
432,348.0,,05220,ZOO,49.21612,16.4932,,52,7465
433,90.0,,04110,"Královo Pole, nádraží",49.23556,16.58598,,41,7467
434,236.0,,05222,ZOO,49.19324,16.5477,,52,7469
435,213.0,,07008,"Královo Pole, nádraží",49.26152,16.59479,,70,7470
436,67.0,,04306,"Soběšice, Klarisky",49.22696,16.59936,,43,7471
437,22.0,,05204,ZOO,49.19048,16.59232,,52,7472
438,337.0,,04108,Lelekovice,49.27525,16.56758,,41,7473
439,33.0,,05710,Haškova,49.23237,16.61995,,57,7474
440,146.0,,06506,"Řečkovice, nádraží",49.25061,16.58948,True,65,7508
441,337.0,,08004,Klusáčkova,49.20241,16.5813,True,80,7511
442,292.0,,08002,Myslivna,49.19405,16.56976,True,68,7512
443,292.0,,06502,"Řečkovice, nádraží",49.23607,16.58421,True,65,7514
444,348.0,,06504,"Řečkovice, nádraží",49.23182,16.57688,True,65,7631
445,33.0,,06702,Jundrov,49.18721,16.61806,True,67,7633
446,157.0,,05402,ZOO,49.22761,16.53411,True,302,7634
447,202.0,,07821,"Modřice, Olympia",49.14502,16.66539,True,78,7637
448,270.0,,08203,Valašská,49.17212,16.56684,True,82,7645
449,247.0,,08006,Náměstí Míru,49.21047,16.59198,True,80,7646
450,240.0,,07006,"Královo Pole, nádraží",49.251,16.58189,True,42,7647
451,22.0,,04304,"Soběšice, Klarisky",49.25671,16.62255,True,43,7649
452,236.0,,06712,Jundrov,49.22087,16.58333,True,67,7650
453,258.0,,07503,"Obřany, sídliště",49.18303,16.67282,True,75,7651
454,90.0,,07819,"Židenice, nádraží",49.14229,16.63267,True,78,7653
455,22.0,,07811,"Židenice, nádraží",49.17634,16.68733,True,78,7655
456,67.0,,04609,Lesnická,49.23371,16.6244,True,46,7657
457,67.0,,05511,Mariánské údolí,49.20187,16.67132,True,55,7658
458,,,07827,"Židenice, nádraží",49.20227,16.6359,True,78,7659
459,303.0,,05509,"Židenice, nádraží",49.20876,16.68828,True,55,7660
460,22.0,,07823,"Židenice, nádraží",49.16814,16.67841,True,795,7661
461,,,06716,Jundrov,49.18009,16.62163,True,67,7664
462,326.0,,05210,Mendlovo náměstí,49.20488,16.48704,True,52,7665
463,191.0,,06714,Jundrov,49.21793,16.60798,True,67,7666
464,22.0,,05505,Mariánské údolí,49.20229,16.64201,True,55,7667
465,247.0,,07515,Vozovna Slatina,49.24453,16.66368,True,75,7669
466,,,05601,Technologický park,49.17619,16.56458,True,796,7670
467,135.0,,07815,"Židenice, nádraží",49.13928,16.63433,True,78,7671
